参数名,标准化参数名,参数英文名,类型,参数类型,接口名,接口类型,数据样例,出现频次,涉及接口数,取值范围,取值说明
拼音缩写,拼音缩写,,object,输出参数,fund_name_em,基金数据,HXCZHH,1,1,,
持仓,持仓,,object,输出参数,futures_global_hist_em,期货数据,0,1,1,,
持仓数量,持仓数量,,int64,输出参数,stock_fund_stock_holder,股票数据,265300,1,1,,
持仓限额,持仓限额,,int64,输出参数,futures_contract_info_cffex,中国期货数据,2000,1,1,,
持平数,持平数,,int64,输出参数,stock_hsgt_fund_flow_summary_em,股票数据,8,1,1,,
持有基金家数,持有基金家数,,int64,输出参数,stock_report_fund_hold,股票数据,,1,1,,
持有时长,持有时长,,object,输出参数,fund_individual_profit_probability_xq,基金数据,满6个月,1,1,,
持股变动信息-占总股本比例,持股变动信息占总股本比例,,float64,输出参数,stock_ggcg_em,股票数据,,1,1,,
持股变动信息-占流通股比例,持股变动信息占流通股比例,,float64,输出参数,stock_ggcg_em,股票数据,,1,1,,
持股变动信息-变动数量,持股变动信息变动数量,,float64,输出参数,stock_ggcg_em,股票数据,,1,1,,
持股变动信息-增减,持股变动信息增减,,float64,输出参数,stock_ggcg_em,股票数据,,1,1,,
持股变动原因,持股变动原因,,object,输出参数,stock_hold_management_detail_cninfo,股票数据,,1,1,,
持股变动数值,持股变动数值,,int64,输出参数,stock_report_fund_hold,股票数据,3024892,1,1,,
持股变动比例,持股变动比例,,float64,输出参数,stock_report_fund_hold,股票数据,0.00219976,1,1,,
持股变化,持股变化,,object,输出参数,stock_report_fund_hold,股票数据,新进,1,1,,
持股只数,持股只数,,float64,输出参数,stock_hsgt_institution_statistics_em,股票数据,,1,1,,
持股总市值,持股总市值,,object,输出参数,fund_report_stock_cninfo,基金数据,1712.62,1,1,,
持股数量占发行股百分比,持股数量占发行股百分比,,float64,输出参数,stock_hsgt_stock_statistics_em,股票数据,,1,1,,
持股数量变动,持股数量变动,,object,输出参数,stock_yzxdr_em,股票数据,,1,1,,
持股机构代码,持股机构代码,,object,输出参数,stock_institute_hold_detail,股票数据,519069,1,1,,
持股机构全称,持股机构全称,,object,输出参数,stock_institute_hold_detail,股票数据,,1,1,,
持股机构简称,持股机构简称,,object,输出参数,stock_institute_hold_detail,股票数据,汇添富价值精选混合A,1,1,,
持股机构类型,持股机构类型,,object,输出参数,stock_institute_hold_detail,股票数据,基金,1,1,,
挂牌频率,挂牌频率,,object,输出参数,futures_contract_info_czce,期货数据,,1,1,,
挂盘基准价,挂盘基准价,,float64,输出参数,futures_contract_info_cffex,中国期货数据,100.974,1,1,,
指数型,指数型,,float64,输出参数,fund_aum_hist_em,基金数据,2343.89,1,1,,
指数涨幅,指数涨幅,,object,输出参数,qdii_a_index_jsl,QDII数据,,1,1,,
指数涨跌幅,指数涨跌幅,,float64,输出参数,stock_hsgt_fund_flow_summary_em,股票数据,0.40,1,1,,
指数简称,指数简称,,object,输出参数,index_all_cni,指数数据,深证成指,1,1,,
换手,换手,,float64,输出参数,reits_hist_em,基金数据,0.66,1,1,,
排名较昨日变动,排名较昨日变动,,int64,输出参数,stock_hot_up_em,股票数据,4491,1,1,,
接口示例,接口示例,,,输出参数,stock_szse_area_summary,股票数据,,1,1,,
接待日期,接待日期,,object,输出参数,stock_jgdy_tj_em,股票数据,2021-02-02,1,1,,
接待机构数量,接待机构数量,,int64,输出参数,stock_jgdy_tj_em,股票数据,,1,1,,
控制类型,控制类型,,object,输出参数,stock_hold_control_cninfo,股票数据,一致行动人,1,1,,
控股数量,控股数量,,float64,输出参数,stock_hold_control_cninfo,股票数据,,1,1,,
控股比例,控股比例,,float64,输出参数,stock_hold_control_cninfo,股票数据,,1,1,,
控股股东、实际控制人,控股股东实际控制人,,float64,输出参数,stock_share_change_cninfo,股票数据,,1,1,,
提案,提案,,object,输出参数,stock_gddh_em,股票数据,1、关于提名公司独立董事候选人的议案,1,1,,
提问者编号,提问者编号,,object,输出参数,stock_irm_cninfo,股票数据,,1,1,,
携手营业部家数,携手营业部家数,,int64,输出参数,stock_lh_yyb_control,股票数据,,1,1,,
摇号结果公告日,摇号结果公告日,,object,输出参数,stock_new_ipo_cninfo,股票数据,,1,1,,
摊薄发行市盈率,摊薄发行市盈率,,float64,输出参数,stock_ipo_summary_cninfo,股票数据,,1,1,,
摊薄每股收益(元),摊薄每股收益元,,float64,输出参数,stock_financial_analysis_indicator,股票数据,-0.0307,1,1,,
收入比例,收入比例,,float64,输出参数,stock_zygc_em,股票数据,,1,1,,
放量天数,放量天数,,int64,输出参数,stock_rank_cxfl_ths,股票数据,8,1,1,,
政府存款,政府存款,,float64,输出参数,macro_china_central_bank_balance,中国宏观数据,,1,1,,
政府部门,政府部门,,float64,输出参数,macro_cnbs,中国宏观数据,8.3,1,1,,
数字经济指数,数字经济指数,,float64,输出参数,index_dei_cx,指数数据,100.00,1,1,,
数据来源,数据来源,,object,输出参数,stock_hold_management_detail_cninfo,股票数据,定期报告,1,1,,
文章来源,文章来源,,object,输出参数,stock_news_em,股票数据,,1,1,,
新加坡元/人民币_中间价,新加坡元人民币_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据,,1,1,,
新加坡元/人民币_涨跌幅,新加坡元人民币_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据,,1,1,,
新动能指数,新动能指数,,float64,输出参数,index_neei_cx,指数数据,1643.4289,1,1,,
新增人民币贷款-同比,新增人民币贷款同比,,object,输出参数,macro_rmb_loan,宏观数据,11.37%,1,1,,
新增人民币贷款-总额,新增人民币贷款总额,,float64,输出参数,macro_rmb_loan,宏观数据,7188.0,1,1,,
新增人民币贷款-环比,新增人民币贷款环比,,object,输出参数,macro_rmb_loan,宏观数据,-81.52%,1,1,,
新增企业存款-同比,新增企业存款同比,,object,输出参数,macro_rmb_deposit,宏观数据,,1,1,,
新增企业存款-数量,新增企业存款数量,,float64,输出参数,macro_rmb_deposit,宏观数据,,1,1,,
新增企业存款-环比,新增企业存款环比,,object,输出参数,macro_rmb_deposit,宏观数据,,1,1,,
新增储蓄存款-同比,新增储蓄存款同比,,object,输出参数,macro_rmb_deposit,宏观数据,,1,1,,
新增储蓄存款-数量,新增储蓄存款数量,,float64,输出参数,macro_rmb_deposit,宏观数据,,1,1,,
新增储蓄存款-环比,新增储蓄存款环比,,object,输出参数,macro_rmb_deposit,宏观数据,,1,1,,
新增其他存款-同比,新增其他存款同比,,object,输出参数,macro_rmb_deposit,宏观数据,6.58%,1,1,,
新增其他存款-数量,新增其他存款数量,,float64,输出参数,macro_rmb_deposit,宏观数据,58014.72,1,1,,
新增其他存款-环比,新增其他存款环比,,object,输出参数,macro_rmb_deposit,宏观数据,9.49%,1,1,,
新增存款-同比,新增存款同比,,object,输出参数,macro_rmb_deposit,宏观数据,12.44%,1,1,,
新增存款-数量,新增存款数量,,float64,输出参数,macro_rmb_deposit,宏观数据,2734467.18,1,1,,
新增存款-环比,新增存款环比,,object,输出参数,macro_rmb_deposit,宏观数据,,1,1,,
新增投资者-同比,新增投资者同比,,float64,输出参数,stock_account_statistics_em,股票数据,,1,1,,
新增投资者-数量,新增投资者数量,,float64,输出参数,stock_account_statistics_em,股票数据,497.53,1,1,,
新增投资者-环比,新增投资者环比,,float64,输出参数,stock_account_statistics_em,股票数据,,1,1,,
新建商品住宅价格指数-同比,新建商品住宅价格指数同比,,float64,输出参数,macro_china_new_house_price,中国宏观数据,101.8,1,1,,
新建商品住宅价格指数-定基,新建商品住宅价格指数定基,,float64,输出参数,macro_china_new_house_price,中国宏观数据,,1,1,,
新建商品住宅价格指数-环比,新建商品住宅价格指数环比,,float64,输出参数,macro_china_new_house_price,中国宏观数据,,1,1,,
新晋粉丝,新晋粉丝,,float64,输出参数,stock_hot_rank_detail_em,股票数据,0.4259,1,1,,
新经济入职工资溢价水平,新经济入职工资溢价水平,,float64,输出参数,index_awpr_cx,指数数据,106.858500,1,1,,
新经济行业入职平均工资水平,新经济行业入职平均工资水平,,float64,输出参数,index_neaw_cx,指数数据,7409.0000,1,1,,
新西兰元/人民币_中间价,新西兰元人民币_中间价,_,float64,输出参数,macro_china_rmb,中国宏观数据,,1,1,,
新西兰元/人民币_涨跌幅,新西兰元人民币_涨跌幅,_,float64,输出参数,macro_china_rmb,中国宏观数据,,1,1,,
新证券简称,新证券简称,,object,输出参数,stock_industry_change_cninfo,股票数据,比亚迪,1,1,,
新转股价生效日期,新转股价生效日期,,object,输出参数,bond_cb_adj_logs_jsl,债券数据,2021-02-24,1,1,,
新闻内容,新闻内容,,object,输出参数,stock_news_em,股票数据,,1,1,,
新闻标题,新闻标题,,object,输出参数,stock_news_em,股票数据,,1,1,,
新闻链接,新闻链接,,object,输出参数,stock_news_em,股票数据,http://finance.eastmoney.com/a/202506163431529...,1,1,,
方案,方案,,object,输出参数,stock_hk_fhpx_detail_ths,股票数据,不分红,1,1,,
旅客周转量,旅客周转量,,float64,输出参数,macro_china_society_traffic_volume,中国宏观数据,,1,1,,
无线寻呼用户数,无线寻呼用户数,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据,,1,1,,
无线寻呼用户数同比增长,无线寻呼用户数同比增长,,float,输出参数,macro_china_postal_telecommunicational,中国宏观数据,,1,1,,
无限售股质押数,无限售股质押数,,float64,输出参数,stock_gpzy_pledge_ratio_em,股票数据,146779.06,1,1,,
日增,日增,,int64,输出参数,futures_global_hist_em,期货数据,0,1,1,,
日持仓限额期货公司会员不限仓,日持仓限额期货公司会员不限仓,,object,输出参数,futures_contract_info_czce,期货数据,,1,1,,
日涨幅,日涨幅,,str,输出参数,fund_money_fund_daily_em,基金数据,,1,1,,
日涨跌幅,日涨跌幅,,float64,输出参数,index_realtime_fund_sw,指数数据,-0.39,1,1,,
日照现货价,日照现货价,,float64,输出参数,index_outer_quote_sugar_msweet,指数数据,279.0,1,1,,
日累计限定金额,日累计限定金额,,float64,输出参数,fund_purchase_em,基金数据,1.000000e+11,1,1,,
日耗,日耗,,float64,输出参数,macro_china_daily_energy,中国宏观数据,64.20,1,1,,
时刻,时刻,,object,输出参数,macro_china_swap_rate,中国宏观数据,9:30,1,1,,
时点,时点,,object,输出参数,stock_zh_kcb_spot,股票数据,,1,1,,
时间戳,时间戳,,object,输出参数,stock_zh_a_spot,股票数据,15:30:01,1,1,,
昨日仓单量（手）,昨日仓单量手,,int64,输出参数,futures_warehouse_receipt_dce,期货数据,2200,1,1,,
昨日封板时间,昨日封板时间,,int64,输出参数,stock_zt_pool_previous_em,股票数据,093957,1,1,,
昨日结算价,昨日结算价,,float64,输出参数,futures_foreign_commodity_realtime,期货数据,,1,1,,
昨日连板数,昨日连板数,,int64,输出参数,stock_zt_pool_previous_em,股票数据,1,1,1,,
昨结,昨结,,float64,输出参数,futures_global_spot_em,期货数据,,1,1,,
是否为灵活合约,是否为灵活合约,,object,输出参数,futures_contract_info_czce,期货数据,,1,1,,
是否受CESR监管,是否受CESR监管,CESR,object,输出参数,futures_contract_info_czce,期货数据,,1,1,,
是否星标,是否星标,,object,输出参数,amac_member_info,中国基金数据,N,1,1,,
是否有提示信息,是否有提示信息,,object,输出参数,amac_manager_classify_info,中国基金数据,是,1,1,,
是否有诚信信息,是否有诚信信息,,object,输出参数,amac_manager_classify_info,中国基金数据,否,1,1,,
是否沪港通标的,是否沪港通标的,,object,输出参数,stock_hk_security_profile_em,股票数据,KYG4100M1050,1,1,,
是否破发,是否破发,,object,输出参数,stock_xgsr_ths,股票数据,否,1,1,,
是否首次评级,是否首次评级,,object,输出参数,stock_rank_forecast_cninfo,股票数据,,1,1,,
暂停上市日期,暂停上市日期,,object,输出参数,stock_info_sh_delist,股票数据,2009-12-29,1,1,,
曾用简称,曾用简称,,object,输出参数,stock_profile_cninfo,股票数据,,1,1,,
最低指数,最低指数,,float64,输出参数,index_hist_fund_sw,指数数据,0.0,1,1,,
最低认购额,最低认购额,,float64,输出参数,bond_corporate_issue_cninfo,债券数据,10000000.0,1,1,,
最后交易日待国家公布2025年节假日安排后进行调整,最后交易日待国家公布2025年节假日安排后进行调整,,object,输出参数,futures_contract_info_czce,期货数据,,1,1,,
最大下单量,最大下单量,,object,输出参数,futures_contract_info_czce,期货数据,,1,1,,
最大值,最大值,,float64,输出参数,stock_profit_forecast_ths,股票数据,,1,1,,
最大回撤,最大回撤,,float64,输出参数,fund_individual_analysis_xq,基金数据,26.58,1,1,,
最小值,最小值,,float64,输出参数,stock_profit_forecast_ths,股票数据,,1,1,,
最小变动价值,最小变动价值,,object,输出参数,futures_contract_info_czce,期货数据,,1,1,,
最小变动单位,最小变动单位,,int64,输出参数,futures_contract_info_gfex,期货数据,50,1,1,,
最小认购单位,最小认购单位,,float64,输出参数,bond_corporate_issue_cninfo,债券数据,,1,1,,
最小跳动,最小跳动,,float64,输出参数,futures_fees_info,期货数据,,1,1,,
最新一期商誉,最新一期商誉,,float64,输出参数,stock_sy_yq_em,股票数据,,1,1,,
最新价-HKD,最新价HKD,HKD,float64,输出参数,stock_zh_ah_spot_em,股票数据,25.65,1,1,,
最新价-RMB,最新价RMB,RMB,float64,输出参数,stock_zh_ah_spot_em,股票数据,47.60,1,1,,
最新价A,最新价A,A,float64,输出参数,stock_zh_ab_comparison_em,股票数据,6.70,1,1,,
最新价B,最新价B,B,float64,输出参数,stock_zh_ab_comparison_em,股票数据,14.38,1,1,,
最新价格,最新价格,,float64,输出参数,stock_analyst_detail_em,股票数据,,1,1,,
最新份额,最新份额,,float64,输出参数,fund_etf_spot_em,基金数据,,1,1,,
最新债项评级,最新债项评级,,object,输出参数,bond_info_cm,中国债券数据,A-1,1,1,,
最新净值/万份收益,最新净值万份收益,,float64,输出参数,fund_purchase_em,基金数据,,1,1,,
最新净值/万份收益-报告时间,最新净值万份收益报告时间,,object,输出参数,fund_purchase_em,基金数据,,1,1,,
最新占流通股比例,最新占流通股比例,,float64,输出参数,stock_institute_hold_detail,股票数据,1.18,1,1,,
最新商誉报告期,最新商誉报告期,,object,输出参数,stock_sy_yq_em,股票数据,,1,1,,
最新持股数,最新持股数,,float64,输出参数,stock_institute_hold_detail,股票数据,,1,1,,
最新持股比例,最新持股比例,,float64,输出参数,stock_institute_hold_detail,股票数据,,1,1,,
最新收益率,最新收益率,,float64,输出参数,bond_spot_deal,中国债券数据,2.3000,1,1,,
最新权重,最新权重,,float64,输出参数,index_component_sw,指数数据,1.2094,1,1,,
最新涨跌幅,最新涨跌幅,,float64,输出参数,stock_hsgt_board_rank_em,股票数据,-3.17,1,1,,
最新目标价,最新目标价,,float64,输出参数,stock_price_js,股票数据,,1,1,,
最新行情时间,最新行情时间,,object,输出参数,index_global_spot_em,指数数据,2025-03-06,1,1,,
